Location:;Huelva
Date:;01/02/2025 10:36:48
Prehole Mode:;
Prehole Depth:;0
Hydrostatic Line:;250
Probe Code:;001236
Ground Level:;0
Lat.:;
Lon.:;
Comments:;preforo 9 m
Operator:;Alejandro
Client:;aph
SeisON:;9600
TempON:;0
P. Qc:;184600
P. Fs:;31019
P. U2:;10642
P. Tilt:;332353
P. Temp:;400800
Z. Qc:;3944;21,37;3995;21,65;0,28
Z. Fs:;7819;252,07;7774;250,62;1,45
Z. U2:;31822;2990,23;37473;3521,24;531,01
Z. Tilt:;2008;0,49;35068;5,05;4,56
Depth;Qc;Fs;U2;Rf;Temp;Tilt;Dist;Speed;Qt;U2-U0;Time
1;0,01;-0,13;-0,09;0;0;0,49;0,01;0;0,01;-0,09;93
2;0,01;-0,13;0;0;0;0,54;0,02;1,4;0,01;0;94
3;0,01;-0,1;0;0;0;0,66;0,03;1,5;0,01;0;94
4;0,01;-0,13;0,09;0;0;0,6;0,04;1,5;0,01;0,09;95
5;0,01;-0,13;-0,09;0;0;0,6;0,05;1,4;0,01;-0,09;96
6;0,01;-0,1;-0,09;0;0;0,56;0,06;1,4;0,01;-0,09;96
7;0,01;-0,1;-0,09;0;0;0,6;0,07;0,1;0,01;-0,09;104
8;0,01;-0,1;0;0;0;0,6;0,08;1,8;0,01;0;105
9;0,01;-0,13;-0,09;0;0;0,6;0,09;1,8;0,01;-0,09;105
10;0,01;-0,1;0,09;0;0;0,62;0,1;1,8;0,01;0,09;106
11;0,01;-0,1;0;0;0;0,62;0,11;1,8;0,01;0;106
12;0,01;-0,1;0;0;0;0,66;0,12;0,2;0,01;0;111
13;0,01;-0,13;-0,19;0;0;0,66;0,14;2;0,01;-0,19;112
14;0,01;-0,1;0,19;0;0;0,6;0,15;1,9;0,01;0,19;112
15;0,01;-0,13;0,09;0;0;0,69;0,16;1,9;0,01;0,09;113
16;0,01;-0,1;0,19;0;0;0,6;0,17;1,8;0,01;0,19;113
17;0,01;-0,1;0,09;0;0;0,62;0,18;1,9;0,01;0,09;114
18;0,01;-0,1;-0,09;0;0;0,64;0,19;1,9;0,01;-0,09;114
19;0,01;-0,1;-0,09;0;0;0,62;0,2;1,9;0,01;-0,09;115
20;0,01;-0,13;0;0;0;0,62;0,21;1,9;0,01;0;116
21;0,01;-0,1;0,09;0;0;0,6;0,22;1,9;0,01;0,09;116
22;0,01;-0,13;0,09;0;0;0,56;0,23;1,9;0,01;0,09;117
23;0,01;-0,1;0;0;0;0,6;0,24;1,9;0,01;0;117
24;0,01;-0,13;0;0;0;0,62;0,25;1,9;0,01;0;117
25;0,01;-0,1;0,09;0;0;0,69;0,27;1,9;0,01;0,09;118
26;0,01;-0,1;0,09;0;0;0,69;0,28;1,9;0,01;0,09;118
27;0,01;-0,1;-0,09;0;0;0,66;0,29;1,9;0,01;-0,09;119
28;0,01;-0,1;0,09;0;0;0,56;0,3;1,9;0,01;0,09;120
29;0,01;-0,1;0,09;0;0;0,62;0,31;1,9;0,01;0,09;120
30;0,01;-0,1;0,09;0;0;0,62;0,32;1,9;0,01;0,09;121
31;0,01;-0,13;-0,09;0;0;0,62;0,33;1,9;0,01;-0,09;121
32;0,01;-0,1;0,09;0;0;0,6;0,34;1,9;0,01;0,09;122
33;0,01;-0,13;0,09;0;0;0,62;0,35;2;0,01;0,09;122
