Location:;Huelva
Date:;12/23/2024 11:36:33
Prehole Mode:;
Prehole Depth:;0
Hydrostatic Line:;250
Probe Code:;001236
Ground Level:;0
Lat.:;680977
Lon.:;4125174
Comments:;preforo hasta 6 m
Operator:;Alejandro
Client:;aph
SeisON:;9600
TempON:;0
P. Qc:;184600
P. Fs:;31019
P. U2:;10642
P. Tilt:;332353
P. Temp:;400800
Z. Qc:;3946;21,38;5971;32,35;10,97
Z. Fs:;7815;251,94;8652;278,92;26,98
Z. U2:;31751;2983,56;34397;3232,2;248,64
Z. Tilt:;4000;0,25;83046;6,09;5,84
Depth;Qc;Fs;U2;Rf;Temp;Tilt;Dist;Speed;Qt;U2-U0;Time
1;0;0;-0,19;0;0;0,28;0;0;0;-0,19;6
2;0;0;-0,09;0;0;0,25;0,01;1,7;0;-0,09;6
3;0;0,03;-0,09;0;0;0,25;0,01;1,7;0;-0,09;7
4;0;0,03;0,19;0;0;0,22;0,02;1,7;0;0,19;7
5;0;0,03;0,09;0;0;0,26;0,02;1,7;0;0,09;8
6;0;0;-0,09;0;0;0,26;0,03;0,1;0;-0,09;14
7;0;0;-0,09;0;0;0,25;0,03;1,8;0;-0,09;14
8;0;0,03;0;0;0;0,25;0,04;1,8;0;0;15
9;-0,01;0;-0,09;0;0;0,25;0,04;1,8;-0,01;-0,09;15
10;0;0;0;0;0;0,25;0,04;1,8;0;0;16
11;0;0,03;-0,09;0;0;0,19;0,05;1,8;0;-0,09;16
12;-0,01;0;-0,19;0;0;0,31;0,05;0,2;-0,01;-0,19;20
13;0;0;0,09;0;0;0,25;0,06;2;0;0,09;21
14;0;0;0,09;0;0;0,2;0,06;2;0;0,09;21
15;0;0;0,09;0;0;0,25;0,06;2;0;0,09;22
16;0;0;-0,09;0;0;0,25;0,07;2;0;-0,09;22
17;0;0,03;0;0;0;0,25;0,07;2;0;0;22
18;-0,01;0;-0,09;0;0;0,25;0,08;2;-0,01;-0,09;23
19;0;0;0;0;0;0,31;0,08;2;0;0;24
20;0;0;-0,09;0;0;0,26;0,09;2;0;-0,09;24
21;-0,01;0;0;0;0;0,53;0,1;2;-0,01;0;25
22;0;0;0,09;0;0;0,38;0,1;2;0;0,09;25
23;0;0;-0,19;0;0;0,3;0,11;2;0;-0,19;26
24;0;0;-0,09;0;0;0,25;0,11;2;0;-0,09;26
25;0;0;0,09;0;0;0,14;0,12;2;0;0,09;27
26;0;0;0,19;0;0;0,26;0,12;2,1;0;0,19;27
27;0;0;-0,19;0;0;0,12;0,12;2;0;-0,19;28
28;-0,01;0;0;0;0;0,25;0,13;1,9;-0,01;0;28
29;0;0;0;0;0;0,22;0,13;2;0;0;29
30;0;0;-0,09;0;0;0,25;0,13;2;0;-0,09;29
31;-0,01;0;0,28;0;0;0,2;0,14;2;-0,01;0,28;29
