Location:;Huelva
Date:;01/03/2025 11:06:01
Prehole Mode:;
Prehole Depth:;0
Hydrostatic Line:;200
Probe Code:;001236
Ground Level:;0
Lat.:;680874
Lon.:;4125522
Comments:;preforo 3 m
Operator:;Alejandro
Client:;aph
SeisON:;9600
TempON:;0
P. Qc:;184600
P. Fs:;31019
P. U2:;10642
P. Tilt:;332353
P. Temp:;400800
Z. Qc:;3949;21,39;11317;61,3;39,91
Z. Fs:;7819;252,07;11728;378,09;126,02
Z. U2:;31687;2977,54;34115;3205,69;228,15
Z. Tilt:;2004;0,27;16055;3,66;3,39
Depth;Qc;Fs;U2;Rf;Temp;Tilt;Dist;Speed;Qt;U2-U0;Time
1;-0,01;-0,03;-0,19;0;0;0,22;0;0;-0,01;-0,19;17
2;0;0;-0,19;0;0;0,22;0,01;1,2;0;-0,19;18
3;0;0;-0,19;0;0;0,27;0,01;1,2;0;-0,19;18
4;-0,01;0;0;0;0;0,24;0,02;1,2;-0,01;0;19
5;-0,01;0;-0,19;0;0;0,27;0,02;0,1;-0,01;-0,19;25
6;-0,01;-0,03;-0,19;0;0;0,3;0,03;1,7;-0,01;-0,19;25
7;-0,01;-0,03;-0,19;0;0;0,27;0,03;1,7;-0,01;-0,19;26
8;-0,01;0;-0,47;0;0;0,3;0,04;1,7;-0,01;-0,47;26
9;-0,01;-0,03;0;0;0;0,27;0,04;1,7;-0,01;0;27
10;-0,01;-0,03;-0,09;0;0;0,19;0,04;1,7;-0,01;-0,09;28
11;-0,01;-0,03;-0,38;0;0;0,19;0,05;0,2;-0,01;-0,38;31
12;-0,01;-0,03;-0,28;0;0;0,27;0,05;2;-0,01;-0,28;32
13;-0,01;-0,03;0;0;0;0,27;0,06;2;-0,01;0;32
14;0;-0,03;-0,09;0;0;0,27;0,06;1,9;0;-0,09;33
15;-0,01;0;-0,09;0;0;0,29;0,07;1,9;-0,01;-0,09;33
16;0;-0,03;-0,09;0;0;0,24;0,07;1,9;0;-0,09;34
17;0;-0,03;-0,19;0;0;0,3;0,08;1,9;0;-0,19;34
18;0;-0,03;-0,09;0;0;0,13;0,08;1,9;0;-0,09;35
19;0;-0,03;-0,09;0;0;0,19;0,08;1,9;0;-0,09;35
20;0;-0,03;0;0;0;0,3;0,09;1,9;0;0;36
21;-0,01;-0,03;-0,28;0;0;0,19;0,09;1,9;-0,01;-0,28;36
22;0;-0,06;-0,19;0;0;0,14;0,09;2;0;-0,19;37
23;0;-0,03;0;0;0;0,17;0,1;2;0;0;37
24;-0,01;-0,03;-0,19;0;0;0,19;0,1;1,9;-0,01;-0,19;38
25;-0,01;-0,03;-0,09;0;0;0,24;0,1;1,9;-0,01;-0,09;38
26;-0,01;-0,03;-0,19;0;0;0,19;0,11;1,9;-0,01;-0,19;39
27;0;-0,03;0;0;0;0,17;0,11;1,9;0;0;39
28;0;-0,03;-0,19;0;0;0,17;0,11;1,9;0;-0,19;40
29;0;-0,06;-0,38;0;0;0,17;0,11;1,9;0;-0,38;40
30;0;-0,03;-0,28;0;0;0,24;0,12;2;0;-0,28;41
31;0;-0,06;-0,09;0;0;0,19;0,12;1,9;0;-0,09;41
32;0;-0,03;-0,28;0;0;0,24;0,13;2;0;-0,28;42
33;0;-0,03;-0,19;0;0;0,19;0,13;2;0;-0,19;42
34;0;-0,06;-0,28;0;0;0,13;0,13;2;0;-0,28;43
35;0;-0,03;-0,28;0;0;0,19;0,14;1,9;0;-0,28;43
36;0;-0,03;-0,28;0;0;0,18;0,14;1,9;0;-0,28;44
37;0;-0,03;-0,09;0;0;0,19;0,14;1,9;0;-0,09;44
38;0;-0,03;-0,09;0;0;0,14;0,14;1,9;0;-0,09;45
39;0;-0,03;-0,09;0;0;0,22;0,15;1,9;0;-0,09;45
40;0;-0,06;-0,19;0;0;0,14;0,15;1,9;0;-0,19;46
41;0;-0,06;-0,19;0;0;0,22;0,15;1,9;0;-0,19;46
42;0;-0,06;-0,09;0;0;0,22;0,16;2;0;-0,09;47
43;0;-0,03;-0,19;0;0;0,13;0,16;2;0;-0,19;47
44;0;-0,03;-0,09;0;0;0,17;0,16;1,9;0;-0,09;48
45;0;-0,06;-0,09;0;0;0,12;0,17;1,9;0;-0,09;48
46;0;-0,06;-0,28;0;0;0,14;0,17;1,9;0;-0,28;49
47;0;-0,03;-0,28;0;0;0,22;0,17;1,9;0;-0,28;49
48;0;-0,03;-0,38;0;0;0,22;0,18;1,9;0;-0,38;50
49;0;-0,06;-0,19;0;0;0,13;0,18;1,9;0;-0,19;50
50;0;-0,06;-0,09;0;0;0,27;0,18;2;0;-0,09;51
51;0;-0,03;0;0;0;0,24;0,19;2;0;0;51
52;0;-0,06;0,09;0;0;0,14;0,19;2;0;0,09;52
53;-0,01;-0,03;-0,38;0;0;0,14;0,19;2;-0,01;-0,38;52
54;0;-0,03;-0,28;0;0;0,17;0,19;2;0;-0,28;53
