Diametro Exterior (mm);Espesor (mm);Modulo Resistente (cm3);Momento de Inercia (cm4);Seccion Acero (cm2);Peso (kg/m);Carga Adm. Compresion (Tn)
139.7;7;92.17;643.81;29.17;23;153.3
139.7;7.5;97.68;682.32;31.13;25;163.7
139.7;8;103.07;719.92;33.08;26;173.9
139.7;9;113.45;792.43;36.94;31;194.2
139.7;10;123.33;861.46;40.73;33;214.1
139.7;11;132.73;927.11;44.45;36;233.7
139.7;12;141.66;989.49;48.12;38;253.0
139.7;12.5;145.95;1019.49;49.93;40;262.5
152.4;6;97.14;740.19;27.58;22;145.0
152.4;9;137.24;1045.77;40.52;35;213.0
152.4;10;149.47;1138.95;44.71;36;235.1
168.3;7;137.28;1155.20;35.45;28;186.4
168.3;9;170.24;1432.56;45.02;36;236.7
168.3;10;185.76;1563.19;49.71;40;261.3
168.3;11;200.67;1688.64;54.33;43;285.6
168.3;16;266.55;2242.98;76.52;61;402.2
177.8;9;191.66;1703.85;47.70;38;250.8
177.8;9.5;200.58;1783.19;50.20;40;263.9
177.8;10;209.34;1861.04;52.69;42;277.0
177.8;11;226.36;2012.36;57.61;46;302.9
177.8;12.5;250.69;2228.66;64.88;51;341.1
193.7;6.3;168.22;1629.22;37.07;30;194.9
193.7;12;293.01;2837.76;68.46;54;359.9
203;6;177.55;1802.16;37.11;30;195.1
203;9;254.66;2584.76;54.82;44;288.2
203;12;324.61;3294.82;71.97;57;378.3
219;6;208.00;2277.58;40.13;32;211.0
219;8;269.77;2953.93;53.00;42;278.6
219;9;299.31;3277.46;59.35;47;312.0
219;10;327.99;3591.46;65.63;52;345.0
219;11;355.81;3896.15;71.84;57;377.7
219;20;570.66;6248.76;124.97;99;657.0
244;10;412.97;5038.25;73.48;58;386.3
244;11.5;466.13;5686.80;83.96;66;441.4
244;12.5;500.39;6104.74;90.86;72;477.7
273;6;328.56;4484.81;50.30;40;298.0
273;14;846.82;12617.60;124.85;99;656.3
